,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),State Senator - District 15 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Representative - District 10 - DEM (Vote For=1),State Representative - District 11 - DEM (Vote For=1),State Representative - District 12 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 49 - DEM (Vote For=1),Boulder County Commissioner - District 3 - DEM (Vote For=1),Boulder County Clerk and Recorder - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Assessor - DEM (Vote For=1),Boulder County Sheriff - DEM (Vote For=1),Boulder County Surveyor - DEM (Vote For=1),Boulder County Coroner - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),State Senator - District 15 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Representative - District 12 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 49 - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,,Julie Gonzales,John Hickenlooper,Joe Neguse,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Kubs Lalchandani,Edie Hooton,Murray Smith,Janice Marchman,Katie Wallace,Junie Joseph,Karen McCormick,Kyle Brown,Anil Pesaramelli,Jillaire McMillan,Colton Jonjak Plahn,Lesley Smith,Ashley Stolzmann,Molly Fitzpatrick,Jenn Kaaoush,Rachel Friend,Cynthia Braddock,Curtis Johnson,Kayce D. W. Keane,Jeff Martin,Sean Vadney,Alex Astley,Mark Baisley,Kelley Anne Dennison,Christina Blunt (Ducommun),Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-In,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Marty Neilson,Rob Woodward,Pat Miller,Ryan Rhatigan,Dan Woog,Michael Sheperek,Paul NoÃ«l Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,BallotType,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
63,108,1,74,108-1-74,Regular,13,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,,1,,,,1,0,0,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
64,108,1,73,108-1-73,Regular,13,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
65,108,1,48,108-1-48,Regular,13,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,1,,,,0,0,1,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
66,108,1,30,108-1-30,Regular,10,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
68,108,1,80,108-1-80,Regular,19,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
69,108,1,79,108-1-79,Regular,19,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
70,108,1,51,108-1-51,Regular,10,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
71,108,1,31,108-1-31,Regular,13,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,,1,,,,0,0,1,,1,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
73,108,1,72,108-1-72,Regular,13,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,1,,,,0,0,1,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
74,108,1,71,108-1-71,Regular,13,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,,1,,,,0,1,0,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
75,108,1,47,108-1-47,Regular,13,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,1,,,,1,0,0,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
76,108,1,32,108-1-32,Regular,13,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,1,,,,0,1,0,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
78,108,1,68,108-1-68,Regular,13,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,1,,,,0,0,1,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
79,108,1,67,108-1-67,Regular,13,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,,1,,,,1,0,0,,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
80,108,1,43,108-1-43,Regular,13,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,,1,,,,0,1,0,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81,108,1,33,108-1-33,Regular,10,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
83,108,1,86,108-1-86,Regular,13,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,,0,,,,1,0,0,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
84,108,1,85,108-1-85,Regular,13,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,1,,,,0,1,0,,1,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
86,108,1,36,108-1-36,Regular,19,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
88,108,1,84,108-1-84,Regular,13,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
89,108,1,83,108-1-83,Regular,19,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,,,,,,,,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
90,108,1,58,108-1-58,Regular,19,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
91,108,1,38,108-1-38,Regular,19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
93,108,1,88,108-1-88,Regular,13,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
94,108,1,87,108-1-87,Regular,13,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,,0,,,,0,0,0,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
96,108,1,39,108-1-39,Regular,19,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,,,,,,,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
99,108,1,29,108-1-29,Regular,10,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,,1,,,1,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
100,108,2,96,108-2-96,Regular,04,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
101,108,2,95,108-2-95,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
102,108,2,70,108-2-70,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
103,108,2,38,108-2-38,Regular,01,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
104,108,2,37,108-2-37,Regular,01,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
105,108,2,26,108-2-26,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
106,108,2,15,108-2-15,Regular,04,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
107,108,2,1,108-2-1,Regular,04,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
112,108,2,34,108-2-34,Regular,01,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
113,108,2,16,108-2-16,Regular,04,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,,,1,,,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
116,108,2,77,108-2-77,Regular,04,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
117,108,2,45,108-2-45,Regular,04,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
118,108,2,44,108-2-44,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
120,108,2,17,108-2-17,Regular,04,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
121,108,2,11,108-2-11,Regular,01,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
122,108,2,74,108-2-74,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
123,108,2,73,108-2-73,Regular,04,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
124,108,2,43,108-2-43,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
125,108,2,42,108-2-42,Regular,04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
127,108,2,18,108-2-18,Regular,04,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
128,108,2,13,108-2-13,Regular,01,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
129,108,2,98,108-2-98,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
130,108,2,97,108-2-97,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
131,108,2,66,108-2-66,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
132,108,2,65,108-2-65,Regular,01,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
133,108,2,40,108-2-40,Regular,01,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,,1,,1,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
134,108,2,19,108-2-19,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
136,108,2,90,108-2-90,Regular,01,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,1,,1,,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
137,108,2,89,108-2-89,Regular,01,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,,0,,0,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
138,108,2,60,108-2-60,Regular,01,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
139,108,2,59,108-2-59,Regular,01,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
140,108,2,36,108-2-36,Regular,01,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,,1,,1,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
141,108,2,20,108-2-20,Regular,04,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
142,108,2,9,108-2-9,Regular,01,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
145,108,2,50,108-2-50,Regular,04,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
146,108,2,49,108-2-49,Regular,04,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,,,1,,,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
148,108,2,21,108-2-21,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
150,108,2,88,108-2-88,Regular,01,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
151,108,2,87,108-2-87,Regular,01,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
152,108,2,62,108-2-62,Regular,01,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
153,108,2,61,108-2-61,Regular,01,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
154,108,2,41,108-2-41,Regular,04,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
155,108,2,22,108-2-22,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
156,108,2,12,108-2-12,Regular,01,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,,1,,1,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
157,108,2,84,108-2-84,Regular,01,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
158,108,2,83,108-2-83,Regular,01,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
161,108,2,35,108-2-35,Regular,01,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
162,108,2,23,108-2-23,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
163,108,2,8,108-2-8,Regular,01,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
164,108,2,86,108-2-86,Regular,01,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
165,108,2,85,108-2-85,Regular,01,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,,0,,0,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
166,108,2,58,108-2-58,Regular,01,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,0,,0,,,,,,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
168,108,2,39,108-2-39,Regular,01,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
169,108,2,24,108-2-24,Regular,04,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,,,0,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
170,108,2,10,108-2-10,Regular,01,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
171,108,2,76,108-2-76,Regular,04,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
172,108,2,75,108-2-75,Regular,04,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
173,108,2,52,108-2-52,Regular,04,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
174,108,2,51,108-2-51,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,,,0,,,,,,,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
175,108,2,33,108-2-33,Regular,01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
176,108,2,25,108-2-25,Regular,04,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
177,108,2,14,108-2-14,Regular,01,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
178,108,2,100,108-2-100,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
179,108,2,99,108-2-99,Regular,04,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
180,108,2,72,108-2-72,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
181,108,2,71,108-2-71,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
182,108,2,46,108-2-46,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
183,108,2,27,108-2-27,Regular,04,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
185,108,2,94,108-2-94,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
186,108,2,93,108-2-93,Regular,04,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
187,108,2,64,108-2-64,Regular,01,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
188,108,2,63,108-2-63,Regular,01,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
189,108,2,47,108-2-47,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
192,108,2,92,108-2-92,Regular,04,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
193,108,2,91,108-2-91,Regular,04,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
194,108,2,68,108-2-68,Regular,04,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
195,108,2,48,108-2-48,Regular,04,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
197,108,2,7,108-2-7,Regular,01,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
198,108,2,67,108-2-67,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
199,108,2,69,108-2-69,Regular,04,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
200,106,1,67,106-1-67,Regular,07,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,,,,1,,,,,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
201,106,1,66,106-1-66,Regular,07,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
202,106,1,65,106-1-65,Regular,07,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
203,106,1,31,106-1-31,Regular,07,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
204,106,1,30,106-1-30,Regular,07,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,,,,,1,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
205,106,1,12,106-1-12,Regular,07,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
206,106,1,11,106-1-11,Regular,07,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
207,106,1,8,106-1-8,Regular,07,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
208,106,1,7,106-1-7,Regular,07,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
209,106,1,5,106-1-5,Regular,07,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,1,,,,,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
210,106,1,3,106-1-3,Regular,07,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
211,106,1,2,106-1-2,Regular,07,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
212,106,1,98,106-1-98,Regular,07,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
213,106,1,97,106-1-97,Regular,07,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
214,106,1,96,106-1-96,Regular,07,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
215,106,1,95,106-1-95,Regular,07,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
